Marca,Tempo no Video,Localizacao Exata,Tipo Original
Cazé TV,0:00:00,"[56, 911, 114, 977]",Visual
Ligue 1,0:00:00,"[50, 866, 122, 896]",Visual
Bitpanda,0:00:05,"[359, 97, 401, 203]",Visual
QNB,0:00:09,"[432, 246, 482, 301]",Visual
Olympique Lyonnais,0:00:13,"[198, 97, 513, 260]",Visual
Paris Saint-Germain,0:00:14,"[52, 97, 411, 262]",Visual
Snipes,0:00:15,"[137, 525, 235, 642]",Visual
Whoop,0:00:15,"[175, 874, 232, 994]",Visual
Emirates,0:00:22,"[250, 375, 410, 442]",Visual
1XBET,0:00:39,"[586, 911, 725, 1000]",Visual
Decolar,0:00:45,"[833, 15, 984, 135]",Visual
Nike,0:00:59,"[786, 401, 860, 480]",Visual
McDonald's,0:01:32,"[557, 150, 672, 350]",Visual
Congo Brazzaville,0:01:35,"[675, 485, 745, 615]",Visual
Ausshopping,0:01:35,"[415, 505, 445, 605]",Visual
MG,0:01:35,"[833, 815, 955, 915]",Visual
Visit Rwanda,0:01:52,"[509, 65, 591, 235]",Visual
Qatar Airways,0:02:00,"[180, 140, 260, 500]",Visual
Qatar Airways,0:02:00,"[288, 508, 373, 844]",Visual
Cazé TV,0:02:00,"[52, 913, 115, 978]",Visual
QNB,0:02:03,"[386, 0, 442, 53]",Visual
bitpanda,0:02:06,"[321, 33, 374, 172]",Visual
Nike,0:02:16,"[920, 310, 996, 436]",Visual
Adidas,0:02:50,"[660, 580, 735, 660]",Visual
Vivo,0:03:33,"[870, 122, 978, 986]",Visual
Bitpanda,0:04:00,"[288, 579, 355, 725]",Visual
Qatar Airways,0:04:00,"[442, 118, 563, 265]",Visual
QNB,0:04:00,"[376, 331, 439, 377]",Visual
CazéTV,0:04:00,"[54, 915, 115, 977]",Visual
Aspetar,0:04:02,"[242, 416, 315, 737]",Visual
Adidas,0:04:16,"[211, 497, 252, 549]",Visual
Emirates,0:04:16,"[302, 471, 381, 545]",Visual
Visit Qatar,0:04:20,"[277, 303, 387, 746]",Visual
WHOOP,0:04:28,"[243, 834, 294, 949]",Visual
1xBET,0:04:31,"[602, 951, 718, 1000]",Visual
Visit Rwanda,0:04:32,"[506, 750, 620, 908]",Visual
Nike,0:04:35,"[725, 407, 793, 461]",Visual
Wetrade,0:04:55,"[106, 396, 151, 444]",Visual
Beyond,0:04:56,"[238, 770, 368, 989]",Visual
Congo Brazzaville,0:05:23,"[712, 297, 814, 396]",Visual
Snipes,0:05:32,"[454, 545, 532, 634]",Visual
