Unnamed: 0,Marca,Data Analise,Tempo,no Video,Timestamp Absoluto,Tipo,Original,Formato,Localizacao Exata,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Texto na Tela Exibido,Unnamed: 16,Contexto Geral,Unnamed: 18,Unnamed: 19,Unnamed: 20,O que foi Falado,Link para o Momento,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Titulo Video,Source
2,Cazé TV,2026-04-19,,0:00:00,2026-04-19 0:00:00,,Visual,Overlay Gráfico,"[56, 911, 114, 977]",,,,,,Cazé TV,,Logotipo do canal de transmissão no canto superior direito.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=0s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
3,Ligue 1,2026-04-19,,0:00:00,2026-04-19 0:00:00,,Visual,Overlay Gráfico,"[50, 866, 122, 896]",,,,,,LIGUE 1,,Logotipo da liga francesa no canto superior direito.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=0s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
4,Bitpanda,2026-04-19,,0:00:05,2026-04-19 0:00:05,,Visual,Placa de Publicidade,"[359, 97, 401, 203]",,,,,,bitpanda,,Publicidade na lateral do campo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=5s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
5,QNB,2026-04-19,,0:00:09,2026-04-19 0:00:09,,Visual,Placa de Publicidade,"[432, 246, 482, 301]",,,,,,QNB,,Logotipo do banco nas placas de publicidade.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=9s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
6,Paris Saint-Germain,2026-04-19,,0:00:09,2026-04-19 0:00:09,,Áudio,Menção em Áudio,,,,,,,,,Narrador introduzindo os times em campo.,,,,Paris Saint-Germain e Lyon,https://www.youtube.com/watch?v=swktQQbVjZ0&t=9s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
7,Lyon,2026-04-19,,0:00:10,2026-04-19 0:00:10,,Áudio,Menção em Áudio,,,,,,,,,Narrador introduzindo os times em campo.,,,,Paris Saint-Germain e Lyon,https://www.youtube.com/watch?v=swktQQbVjZ0&t=10s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
8,Ligue 1,2026-04-19,,0:00:12,2026-04-19 0:00:12,,Áudio,Menção em Áudio,,,,,,,,,Narrador mencionando a rodada do campeonato francês.,,,,trigésima rodada da Ligue Un,https://www.youtube.com/watch?v=swktQQbVjZ0&t=12s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
9,Olympique Lyonnais,2026-04-19,,0:00:13,2026-04-19 0:00:13,,Visual,Overlay Gráfico,"[198, 97, 513, 260]",,,,,,OLYMPIQUE LYONNAIS,,Escudo do time Lyon em destaque na tela.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=13s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
10,Paris Saint-Germain,2026-04-19,,0:00:14,2026-04-19 0:00:14,,Visual,Overlay Gráfico,"[52, 97, 411, 262]",,,,,,PARIS SAINT-GERMAIN,,Escudo do time PSG em destaque na tela.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=14s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
11,Snipes,2026-04-19,,0:00:15,2026-04-19 0:00:15,,Visual,Placa de Publicidade,"[137, 525, 235, 642]",,,,,,SNIPES,,Publicidade de vestuário na borda do campo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=15s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
